usage,image_a,image_b,f_a_og,f_b_og,f_a,f_b,i_a,i_b,chosen_f_og,chosen_f,chosen_i,left_right,resptime
yes,Girl1_Clarendon_75.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,75,100,Lark,Lark,100,right,8.828484
yes,Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,Lark,Lark,0,25,OG,Lark,0,left,1.262635
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,1.643786
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,50,75,Clarendon,Clarendon,50,left,1.061862
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Juno,Juno,75,right,1.112621
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,2.045473
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,25,100,Lark,Lark,25,left,1.500781
yes,Girl1_Juno_100.jpg,Girl1_OG.jpg,Juno,OG,Juno,Juno,100,0,Juno,Juno,100,left,0.979147
yes,Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,Lark,Lark,0,50,OG,Lark,0,left,4.217225
yes,Girl2_Juno_50.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,50,25,Juno,Juno,50,left,1.33011
yes,Girl1_Juno_75.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Juno,Juno,75,left,2.877981
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,75,50,Clarendon,Clarendon,50,right,13.942779
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,0.685799
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Lark,Lark,50,right,1.527803
yes,Girl1_Lark_100.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,100,50,Juno,Juno,50,right,1.309435
yes,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,25,100,Juno,Juno,25,left,1.224774
