usage,image_a,image_b,f_a_og,f_b_og,f_a,f_b,i_a,i_b,chosen_f_og,chosen_f,chosen_i,left_right,resptime
yes,Girl1_Clarendon_75.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,75,100,Clarendon,Clarendon,75,left,5.16912
yes,Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,Lark,Lark,0,25,OG,Lark,0,left,3.586785
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,2.858777
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,50,75,Clarendon,Clarendon,50,left,2.547752
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Clarendon,Clarendon,100,left,3.187239
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,6.034792
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,25,100,Clarendon,Clarendon,100,right,3.090451
yes,Girl1_Juno_100.jpg,Girl1_OG.jpg,Juno,OG,Juno,Juno,100,0,Juno,Juno,100,left,5.422982
yes,Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,Lark,Lark,0,50,Lark,Lark,50,right,1.974808
yes,Girl2_Juno_50.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,50,25,Juno,Juno,50,left,3.901407
yes,Girl1_Juno_75.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Juno,Juno,75,left,2.135121
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,75,50,Clarendon,Clarendon,50,right,2.274399
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,2.435603
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Clarendon,Clarendon,75,left,2.107374
yes,Girl1_Lark_100.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,100,50,Lark,Lark,100,left,2.388487
yes,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,25,100,Juno,Juno,25,left,4.086205
yes,Girl1_Juno_100.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,100,50,Clarendon,Clarendon,50,right,3.304317
