image_a,image_b,filter_a,filter_b,intensity_a,intensity_b
Girl1_Lark_100.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,100,100
Ocean_Clarendon_25.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,25,25
Ocean_Lark_50.jpg,Ocean_Lark_75.jpg,Lark,Lark,50,75
Ocean_Juno_100.jpg,Ocean_Juno_50.jpg,Juno,Juno,100,50
Ocean_Juno_75.jpg,Ocean_Juno_25.jpg,Juno,Juno,75,25
Ocean_Lark_50.jpg,Ocean_Clarendon_75.jpg,Lark,Clarendon,50,75
Ocean_OG.jpg,Ocean_Clarendon_100.jpg,OG,Clarendon,0,100
Ocean_Juno_25.jpg,Ocean_Lark_75.jpg,Juno,Lark,25,75
Ocean_Clarendon_50.jpg,Ocean_Juno_75.jpg,Clarendon,Juno,50,75
Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,25,100
Girl1_Juno_75.jpg,Girl1_Juno_100.jpg,Juno,Juno,75,100
Girl1_Clarendon_100.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,100,50
Ocean_Clarendon_25.jpg,Ocean_Juno_75.jpg,Clarendon,Juno,25,75
Girl1_OG.jpg,Girl1_Clarendon_75.jpg,OG,Clarendon,0,75
Girl1_Clarendon_100.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,100,75
Girl1_Juno_25.jpg,Girl1_Lark_50.jpg,Juno,Lark,25,50
Girl1_Lark_25.jpg,Girl1_Juno_50.jpg,Lark,Juno,25,50
Girl1_Clarendon_100.jpg,Girl1_Lark_75.jpg,Clarendon,Lark,100,75
Ocean_Juno_75.jpg,Ocean_Lark_75.jpg,Juno,Lark,75,75
Ocean_Clarendon_100.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,100,100
Girl1_Juno_50.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,50,50
Ocean_Clarendon_50.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,50,50
Ocean_Lark_25.jpg,Ocean_Lark_100.jpg,Lark,Lark,25,100
Girl1_Juno_100.jpg,Girl1_Lark_25.jpg,Juno,Lark,100,25
Girl1_Juno_50.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,50,25
Girl1_Juno_25.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,25,25
Ocean_Clarendon_100.jpg,Ocean_Clarendon_75.jpg,Clarendon,Clarendon,100,75
Ocean_Clarendon_75.jpg,Ocean_Lark_100.jpg,Clarendon,Lark,75,100
Ocean_Clarendon_50.jpg,Ocean_OG.jpg,Clarendon,OG,50,0
Ocean_Clarendon_50.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,50,100
Ocean_Juno_25.jpg,Ocean_OG.jpg,Juno,OG,25,0
Ocean_Juno_25.jpg,Ocean_Juno_50.jpg,Juno,Juno,25,50
Ocean_Clarendon_100.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,100,50
Girl1_Lark_50.jpg,Girl1_Lark_75.jpg,Lark,Lark,50,75
Ocean_Clarendon_75.jpg,Ocean_Clarendon_50.jpg,Clarendon,Clarendon,75,50
Girl1_Lark_25.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,25,75
Girl1_Lark_75.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,75,75
Ocean_OG.jpg,Ocean_Lark_50.jpg,OG,Lark,0,50
Ocean_Juno_75.jpg,Ocean_Juno_50.jpg,Juno,Juno,75,50
Ocean_Lark_50.jpg,Ocean_Lark_100.jpg,Lark,Lark,50,100
Girl1_Clarendon_50.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,50,50
Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,0,25
Girl1_Juno_75.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,75,75
Girl1_OG.jpg,Girl1_Clarendon_25.jpg,OG,Clarendon,0,25
Girl1_Juno_50.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,50,100
Ocean_Clarendon_25.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,25,25
Girl1_Lark_100.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,100,75
Girl1_OG.jpg,Girl1_Clarendon_50.jpg,OG,Clarendon,0,50
Ocean_Lark_75.jpg,Ocean_Clarendon_75.jpg,Lark,Clarendon,75,75
Girl1_Lark_25.jpg,Girl1_Juno_75.jpg,Lark,Juno,25,75
Ocean_Clarendon_100.jpg,Ocean_Clarendon_25.jpg,Clarendon,Clarendon,100,25
Ocean_Lark_100.jpg,Ocean_Juno_25.jpg,Lark,Juno,100,25
Ocean_Juno_25.jpg,Ocean_Clarendon_50.jpg,Juno,Clarendon,25,50
Girl1_OG.jpg,Girl1_Lark_100.jpg,OG,Lark,0,100
Ocean_Juno_75.jpg,Ocean_Clarendon_75.jpg,Juno,Clarendon,75,75
Ocean_Clarendon_75.jpg,Ocean_OG.jpg,Clarendon,OG,75,0
Ocean_Lark_25.jpg,Ocean_Lark_75.jpg,Lark,Lark,25,75
Girl1_Lark_100.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,100,25
Ocean_Juno_100.jpg,Ocean_Lark_75.jpg,Juno,Lark,100,75
Ocean_Lark_75.jpg,Ocean_OG.jpg,Lark,OG,75,0
Ocean_Juno_100.jpg,Ocean_Juno_25.jpg,Juno,Juno,100,25
Girl1_Juno_50.jpg,Girl1_Lark_75.jpg,Juno,Lark,50,75
Ocean_Clarendon_100.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,100,25
Ocean_Juno_50.jpg,Ocean_Clarendon_25.jpg,Juno,Clarendon,50,25
Girl1_Clarendon_25.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,25,100
Girl1_Clarendon_100.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,100,50
Girl1_Clarendon_25.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,25,50
Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,75,50
Ocean_Lark_50.jpg,Ocean_Juno_50.jpg,Lark,Juno,50,50
Girl1_Juno_75.jpg,Girl1_Lark_75.jpg,Juno,Lark,75,75
Ocean_Lark_100.jpg,Ocean_Juno_75.jpg,Lark,Juno,100,75
Girl1_Lark_100.jpg,Girl1_Lark_75.jpg,Lark,Lark,100,75
Girl1_Lark_50.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,50,75
Girl1_Juno_25.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,25,100
Ocean_Clarendon_100.jpg,Ocean_Clarendon_50.jpg,Clarendon,Clarendon,100,50
Ocean_Juno_100.jpg,Ocean_Clarendon_25.jpg,Juno,Clarendon,100,25
Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,25,100
Girl1_Clarendon_50.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,50,100
Girl1_OG.jpg,Girl1_Clarendon_100.jpg,OG,Clarendon,0,100
Girl1_Juno_25.jpg,Girl1_Juno_100.jpg,Juno,Juno,25,100
Girl1_OG.jpg,Girl1_Juno_100.jpg,OG,Juno,0,100
Ocean_Juno_50.jpg,Ocean_Lark_75.jpg,Juno,Lark,50,75
Ocean_Lark_50.jpg,Ocean_Juno_75.jpg,Lark,Juno,50,75
Girl1_Lark_100.jpg,Girl1_Juno_100.jpg,Lark,Juno,100,100
Girl1_Juno_50.jpg,Girl1_Lark_100.jpg,Juno,Lark,50,100
Ocean_Clarendon_75.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,75,25
Ocean_Clarendon_50.jpg,Ocean_Lark_75.jpg,Clarendon,Lark,50,75
Girl1_Juno_25.jpg,Girl1_Juno_75.jpg,Juno,Juno,25,75
Girl1_Juno_25.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,25,75
Girl1_Juno_50.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,50,75
Ocean_Clarendon_50.jpg,Ocean_Clarendon_25.jpg,Clarendon,Clarendon,50,25
Girl1_Clarendon_100.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,100,100
Girl1_OG.jpg,Girl1_Juno_25.jpg,OG,Juno,0,25
Girl1_Juno_75.jpg,Girl1_OG.jpg,Juno,OG,75,0
Ocean_Lark_25.jpg,Ocean_Lark_50.jpg,Lark,Lark,25,50
Girl1_Clarendon_50.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,50,75
Ocean_Lark_100.jpg,Ocean_Juno_50.jpg,Lark,Juno,100,50
Ocean_Clarendon_25.jpg,Ocean_Clarendon_75.jpg,Clarendon,Clarendon,25,75
Girl1_Lark_100.jpg,Girl1_Juno_75.jpg,Lark,Juno,100,75
Ocean_Lark_100.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,100,100
Ocean_Juno_25.jpg,Ocean_Lark_50.jpg,Juno,Lark,25,50
Girl1_Lark_25.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,25,25
Girl1_Clarendon_25.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,25,50
Ocean_Lark_100.jpg,Ocean_Juno_100.jpg,Lark,Juno,100,100
Ocean_Clarendon_75.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,75,100
Girl1_Lark_50.jpg,Girl1_Juno_100.jpg,Lark,Juno,50,100
Girl1_Lark_50.jpg,Girl1_Juno_50.jpg,Lark,Juno,50,50
Ocean_Lark_50.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,50,100
Ocean_Clarendon_25.jpg,Ocean_Lark_100.jpg,Clarendon,Lark,25,100
Girl1_Clarendon_50.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,50,75
Girl1_Juno_25.jpg,Girl1_Lark_25.jpg,Juno,Lark,25,25
Girl1_Juno_50.jpg,Girl1_Juno_75.jpg,Juno,Juno,50,75
Girl1_Clarendon_50.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,50,25
Ocean_Clarendon_25.jpg,Ocean_OG.jpg,Clarendon,OG,25,0
Girl1_Clarendon_25.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,25,100
Ocean_Lark_75.jpg,Ocean_Lark_100.jpg,Lark,Lark,75,100
Girl1_Juno_100.jpg,Girl1_Lark_75.jpg,Juno,Lark,100,75
Girl1_Lark_50.jpg,Girl1_Lark_100.jpg,Lark,Lark,50,100
Girl1_Clarendon_25.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,25,75
Ocean_Lark_25.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,25,50
Ocean_Clarendon_25.jpg,Ocean_Lark_50.jpg,Clarendon,Lark,25,50
Ocean_Lark_50.jpg,Ocean_Juno_100.jpg,Lark,Juno,50,100
Ocean_Juno_75.jpg,Ocean_Clarendon_100.jpg,Juno,Clarendon,75,100
Girl1_Juno_50.jpg,Girl1_Juno_25.jpg,Juno,Juno,50,25
Girl1_Clarendon_75.jpg,Girl1_Clarendon_25.jpg,Clarendon,Clarendon,75,25
Ocean_OG.jpg,Ocean_Lark_100.jpg,OG,Lark,0,100
Ocean_Lark_25.jpg,Ocean_Juno_75.jpg,Lark,Juno,25,75
Ocean_Lark_75.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,75,100
Girl1_Clarendon_50.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,50,100
Ocean_Clarendon_75.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,75,50
Ocean_Juno_50.jpg,Ocean_Lark_25.jpg,Juno,Lark,50,25
Ocean_Lark_100.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,100,50
Girl1_Lark_75.jpg,Girl1_Lark_25.jpg,Lark,Lark,75,25
Ocean_Lark_50.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,50,50
Girl1_Juno_75.jpg,Girl1_Lark_50.jpg,Juno,Lark,75,50
Girl1_Juno_75.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,75,100
Ocean_Lark_25.jpg,Ocean_Juno_25.jpg,Lark,Juno,25,25
Girl1_Juno_100.jpg,Girl1_Juno_50.jpg,Juno,Juno,100,50
Ocean_Clarendon_100.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,100,25
Ocean_Lark_25.jpg,Ocean_Juno_100.jpg,Lark,Juno,25,100
Girl1_Lark_50.jpg,Girl1_Lark_25.jpg,Lark,Lark,50,25
Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,0,50
Ocean_OG.jpg,Ocean_Lark_25.jpg,OG,Lark,0,25
Ocean_Clarendon_75.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,75,25
Girl1_Clarendon_75.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,75,100
Girl1_Juno_25.jpg,Girl1_Lark_75.jpg,Juno,Lark,25,75
Ocean_Juno_50.jpg,Ocean_OG.jpg,Juno,OG,50,0
Girl1_Clarendon_50.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,50,25
Ocean_OG.jpg,Ocean_Juno_100.jpg,OG,Juno,0,100
Ocean_Juno_75.jpg,Ocean_OG.jpg,Juno,OG,75,0
Ocean_Clarendon_25.jpg,Ocean_Lark_75.jpg,Clarendon,Lark,25,75
Girl1_Lark_75.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,75,25
Girl1_Lark_25.jpg,Girl1_Lark_100.jpg,Lark,Lark,25,100
Girl1_Juno_50.jpg,Girl1_OG.jpg,Juno,OG,50,0
Ocean_Juno_75.jpg,Ocean_Juno_100.jpg,Juno,Juno,75,100
Girl1_OG.jpg,Girl1_Lark_75.jpg,OG,Lark,0,75
