usage,image,filter,intensity,response,resptime
yes,Lake_Lark_75.jpg,Lark,75,4,2.275059
yes,Girl1_Juno_0.jpg,Juno,0,2,1.083389
yes,Girl2_Juno_25.jpg,Juno,25,5,0.106116
yes,Girl1_Juno_75.jpg,Juno,75,4,0.104853
yes,Lake_Juno_0.jpg,Juno,0,1,0.118879
yes,Girl2_Juno_100.jpg,Juno,100,3,0.12727
yes,Girl1_Lark_25.jpg,Lark,25,2,0.138292
yes,Girl1_Clarendon_50.jpg,Clarendon,50,4,0.108206
yes,Lake_Juno_100.jpg,Juno,100,2,0.145259
yes,Girl1_Lark_100.jpg,Lark,100,5,0.100068
yes,Girl2_Clarendon_75.jpg,Clarendon,75,2,0.131426
yes,Girl2_Lark_25.jpg,Lark,25,4,0.079773
yes,Lake_Clarendon_100.jpg,Clarendon,100,1,0.138639
yes,Lake_Clarendon_25.jpg,Clarendon,25,3,0.101518
yes,Girl1_Lark_50.jpg,Lark,50,2,0.104506
yes,Girl1_Juno_50.jpg,Juno,50,4,0.123346
yes,Girl1_Lark_75.jpg,Lark,75,2,0.104075
yes,Girl1_Clarendon_0.jpg,Clarendon,0,5,0.077942
yes,Temple_Lark_50.jpg,Lark,50,2,0.127654
yes,Temple_Clarendon_0.jpg,Clarendon,0,3,0.070452
yes,Girl1_Clarendon_75.jpg,Clarendon,75,2,0.113053
yes,Temple_Clarendon_75.jpg,Clarendon,75,4,0.0675
yes,Lake_Clarendon_50.jpg,Clarendon,50,2,0.07953
yes,Temple_Juno_50.jpg,Juno,50,5,0.051718
yes,Temple_Juno_25.jpg,Juno,25,2,0.112553
yes,Temple_Lark_100.jpg,Lark,100,3,0.085308
yes,Temple_Lark_0.jpg,Lark,0,2,0.09132
yes,Girl1_Juno_25.jpg,Juno,25,4,0.095789
yes,Girl2_Clarendon_100.jpg,Clarendon,100,2,0.079917
yes,Girl2_Juno_75.jpg,Juno,75,5,0.054804
yes,Temple_Lark_75.jpg,Lark,75,2,0.112422
yes,Girl2_Clarendon_25.jpg,Clarendon,25,3,0.09448
yes,Temple_Clarendon_25.jpg,Clarendon,25,2,0.067565
yes,Temple_Juno_0.jpg,Juno,0,4,0.071341
yes,Girl2_Clarendon_0.jpg,Clarendon,0,1,0.100713
yes,Girl2_Lark_75.jpg,Lark,75,5,0.088215
yes,Lake_Juno_75.jpg,Juno,75,1,0.064311
yes,Girl1_Juno_100.jpg,Juno,100,4,0.092584
yes,Lake_Juno_25.jpg,Juno,25,2,0.107921
yes,Girl2_Juno_50.jpg,Juno,50,3,0.110037
yes,Girl1_Clarendon_100.jpg,Clarendon,100,2,0.027431
yes,Lake_Clarendon_0.jpg,Clarendon,0,4,0.130026
yes,Girl2_Lark_50.jpg,Lark,50,2,0.066181
yes,Lake_Clarendon_75.jpg,Clarendon,75,5,0.082515
yes,Lake_Lark_100.jpg,Lark,100,2,0.071924
yes,Temple_Lark_25.jpg,Lark,25,4,0.103671
yes,Lake_Lark_50.jpg,Lark,50,2,0.082839
yes,Temple_Juno_100.jpg,Juno,100,3,0.089539
yes,Temple_Clarendon_50.jpg,Clarendon,50,2,0.080007
yes,Girl2_Clarendon_50.jpg,Clarendon,50,4,0.076144
yes,Lake_Juno_50.jpg,Juno,50,2,0.063302
yes,Lake_Lark_25.jpg,Lark,25,5,0.086528
yes,Girl1_Clarendon_25.jpg,Clarendon,25,1,0.096513
yes,Girl2_Juno_0.jpg,Juno,0,4,0.106431
yes,Girl2_Lark_0.jpg,Lark,0,1,0.085277
yes,Girl2_Lark_100.jpg,Lark,100,2,0.013511
yes,Girl1_Lark_0.jpg,Lark,0,3,0.120623
yes,Lake_Lark_0.jpg,Lark,0,2,0.078237
yes,Temple_Juno_75.jpg,Juno,75,4,0.065694
yes,Temple_Clarendon_100.jpg,Clarendon,100,2,0.14725
