usage,image_a,image_b,f_a_og,f_b_og,f_a,f_b,i_a,i_b,chosen_f_og,chosen_f,chosen_i,left_right,resptime
no,Girl1_Clarendon_75.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,75,100,Clarendon,Clarendon,75,left,4.229009
no,Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,Lark,Lark,0,25,Lark,Lark,25,right,3.194889
no,Girl2_Juno_75.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Clarendon,Clarendon,25,right,5.925865
no,Girl2_Clarendon_50.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,50,75,Clarendon,Clarendon,50,left,2.774375
no,Girl2_Clarendon_100.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Juno,Juno,75,right,0.863579
no,Girl1_Juno_75.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Clarendon,Clarendon,25,right,1.354032
no,Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,25,100,Lark,Lark,25,left,1.810456
no,Girl1_Juno_100.jpg,Girl1_OG.jpg,Juno,OG,Juno,Juno,100,0,OG,Juno,0,right,0.966917
no,Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,Lark,Lark,0,50,OG,Lark,0,left,4.706792
no,Girl2_Juno_50.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,50,25,Clarendon,Clarendon,25,right,3.831802
no,Girl1_Juno_75.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Juno,Juno,75,left,1.384346
no,Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,75,50,Clarendon,Clarendon,50,right,6.95888
no,Girl1_Clarendon_50.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,1.479195
no,Girl2_Clarendon_75.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Lark,Lark,50,right,1.194882
no,Girl1_Lark_100.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,100,50,Lark,Lark,100,left,3.566382
no,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,25,100,Juno,Juno,25,left,1.516574
no,Girl1_Juno_100.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,100,50,Clarendon,Clarendon,50,right,0.900401
no,Girl2_Juno_75.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,75,75,Juno,Juno,75,left,1.067366
no,Girl2_Lark_75.jpg,Girl2_Juno_25.jpg,Lark,Juno,Lark,Juno,75,25,Juno,Juno,25,right,1.976725
no,Girl2_Clarendon_75.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,75,25,Juno,Juno,25,right,1.1484
no,Girl2_Juno_25.jpg,Girl2_Juno_75.jpg,Juno,Juno,Juno,Juno,25,75,Juno,Juno,25,left,1.384273
no,Girl1_OG.jpg,Girl1_Lark_75.jpg,OG,Lark,Lark,Lark,0,75,OG,Lark,0,left,1.678601
no,Girl2_OG.jpg,Girl2_Lark_75.jpg,OG,Lark,Lark,Lark,0,75,OG,Lark,0,left,1.507701
no,Girl2_OG.jpg,Girl2_Lark_100.jpg,OG,Lark,Lark,Lark,0,100,OG,Lark,0,left,1.275397
no,Girl1_OG.jpg,Girl1_Clarendon_25.jpg,OG,Clarendon,Clarendon,Clarendon,0,25,OG,Clarendon,0,left,1.973947
no,Girl2_OG.jpg,Girl2_Lark_50.jpg,OG,Lark,Lark,Lark,0,50,Lark,Lark,50,right,2.433728
no,Girl1_Juno_50.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,Juno,Clarendon,50,100,Juno,Juno,50,left,0.783835
no,Girl2_Clarendon_50.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,50,25,Juno,Juno,25,right,1.028301
no,Girl2_Juno_25.jpg,Girl2_Lark_50.jpg,Juno,Lark,Juno,Lark,25,50,Juno,Juno,25,left,1.924645
no,Girl1_Juno_25.jpg,Girl1_Juno_75.jpg,Juno,Juno,Juno,Juno,25,75,Juno,Juno,25,left,1.495487
no,Girl1_Clarendon_50.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,50,0,OG,Clarendon,0,right,2.642615
no,Girl1_Lark_75.jpg,Girl1_Juno_100.jpg,Lark,Juno,Lark,Juno,75,100,Lark,Lark,75,left,1.479905
no,Girl2_OG.jpg,Girl2_Juno_25.jpg,OG,Juno,Juno,Juno,0,25,OG,Juno,0,left,1.835494
no,Girl2_Juno_75.jpg,Girl2_Lark_25.jpg,Juno,Lark,Juno,Lark,75,25,Lark,Lark,25,right,0.797999
no,Girl2_Clarendon_50.jpg,Girl2_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,1.57036
no,Girl2_Lark_100.jpg,Girl2_Juno_25.jpg,Lark,Juno,Lark,Juno,100,25,Juno,Juno,25,right,1.923886
no,Girl1_Lark_50.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,Lark,Clarendon,50,25,Clarendon,Clarendon,25,right,2.957389
no,Girl1_Juno_50.jpg,Girl1_Juno_25.jpg,Juno,Juno,Juno,Juno,50,25,Juno,Juno,25,right,1.395204
no,Girl1_Clarendon_75.jpg,Girl1_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,75,50,Clarendon,Clarendon,75,left,2.140701
no,Girl1_Juno_100.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,100,100,Lark,Lark,100,right,2.267532
no,Girl1_OG.jpg,Girl1_Clarendon_100.jpg,OG,Clarendon,Clarendon,Clarendon,0,100,OG,Clarendon,0,left,0.888211
no,Girl1_Clarendon_25.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,25,50,Clarendon,Clarendon,50,right,1.365235
no,Girl2_Lark_25.jpg,Girl2_OG.jpg,Lark,OG,Lark,Lark,25,0,OG,Lark,0,right,1.244527
no,Girl2_Juno_75.jpg,Girl2_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Juno,Juno,75,left,1.741665
no,Girl1_Lark_100.jpg,Girl1_Lark_50.jpg,Lark,Lark,Lark,Lark,100,50,Lark,Lark,50,right,0.794989
no,Girl2_Clarendon_100.jpg,Girl2_OG.jpg,Clarendon,OG,Clarendon,Clarendon,100,0,OG,Clarendon,0,right,1.216379
no,Girl2_Clarendon_100.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,100,25,Juno,Juno,25,right,1.221142
no,Girl2_Lark_75.jpg,Girl2_Juno_50.jpg,Lark,Juno,Lark,Juno,75,50,Juno,Juno,50,right,1.064687
no,Girl1_Lark_25.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,Lark,Clarendon,25,25,Clarendon,Clarendon,25,right,2.308622
no,Girl2_Juno_100.jpg,Girl2_Lark_25.jpg,Juno,Lark,Juno,Lark,100,25,Lark,Lark,25,right,1.301393
no,Girl1_OG.jpg,Girl1_Juno_75.jpg,OG,Juno,Juno,Juno,0,75,OG,Juno,0,left,0.89393
no,Girl1_Clarendon_75.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,50,Clarendon,Clarendon,50,right,1.433598
no,Girl1_Clarendon_100.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,100,25,Juno,Juno,25,right,0.776966
no,Girl2_Juno_50.jpg,Girl2_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,50,50,Juno,Juno,50,left,0.736199
no,Girl2_Lark_50.jpg,Girl2_Juno_50.jpg,Lark,Juno,Lark,Juno,50,50,Juno,Juno,50,right,1.715496
no,Girl2_Clarendon_25.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,25,100,Clarendon,Clarendon,25,left,0.744596
no,Girl1_Clarendon_100.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Juno,Juno,75,right,1.56953
no,Girl1_Lark_75.jpg,Girl1_Juno_25.jpg,Lark,Juno,Lark,Juno,75,25,Juno,Juno,25,right,1.422826
no,Girl1_Lark_50.jpg,Girl1_Lark_75.jpg,Lark,Lark,Lark,Lark,50,75,Lark,Lark,50,left,1.957843
no,Girl1_Clarendon_50.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,50,100,Clarendon,Clarendon,50,left,1.109647
no,Girl1_Juno_100.jpg,Girl1_Lark_25.jpg,Juno,Lark,Juno,Lark,100,25,Lark,Lark,25,right,0.861555
no,Girl1_Lark_75.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,Lark,Clarendon,75,75,Clarendon,Clarendon,75,right,2.281612
no,Girl2_Clarendon_25.jpg,Girl2_OG.jpg,Clarendon,OG,Clarendon,Clarendon,25,0,Clarendon,Clarendon,25,left,2.172216
no,Girl2_Clarendon_75.jpg,Girl2_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,25,Clarendon,Clarendon,25,right,0.814552
no,Girl2_Lark_50.jpg,Girl2_Juno_75.jpg,Lark,Juno,Lark,Juno,50,75,Juno,Juno,75,right,3.080201
no,Girl2_Lark_25.jpg,Girl2_Juno_50.jpg,Lark,Juno,Lark,Juno,25,50,Lark,Lark,25,left,1.982073
no,Girl2_Lark_75.jpg,Girl2_Clarendon_75.jpg,Lark,Clarendon,Lark,Clarendon,75,75,Lark,Lark,75,left,1.163544
no,Girl1_Clarendon_75.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,75,0,OG,Clarendon,0,right,1.096238
no,Girl2_Juno_25.jpg,Girl2_Juno_50.jpg,Juno,Juno,Juno,Juno,25,50,Juno,Juno,25,left,1.853158
no,Girl2_Juno_100.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,100,25,Clarendon,Clarendon,25,right,1.103353
no,Girl1_Clarendon_25.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,25,100,Clarendon,Clarendon,25,left,1.000409
no,Girl2_Lark_100.jpg,Girl2_Lark_75.jpg,Lark,Lark,Lark,Lark,100,75,Lark,Lark,75,right,3.649057
no,Girl2_Lark_75.jpg,Girl2_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,75,50,Clarendon,Clarendon,50,right,2.663336
no,Girl1_Clarendon_100.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,100,50,Lark,Lark,50,right,2.012859
no,Girl1_Juno_50.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,50,25,Clarendon,Clarendon,25,right,2.180885
no,Girl2_Juno_100.jpg,Girl2_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,100,50,Clarendon,Clarendon,50,right,2.696363
no,Girl2_OG.jpg,Girl2_Juno_75.jpg,OG,Juno,Juno,Juno,0,75,OG,Juno,0,left,4.147596
no,Girl2_Juno_25.jpg,Girl2_Juno_100.jpg,Juno,Juno,Juno,Juno,25,100,Juno,Juno,25,left,1.207095
no,Girl2_Clarendon_50.jpg,Girl2_OG.jpg,Clarendon,OG,Clarendon,Clarendon,50,0,OG,Clarendon,0,right,1.415458
no,Girl2_Clarendon_100.jpg,Girl2_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,100,25,Clarendon,Clarendon,25,right,1.09739
no,Girl1_Juno_50.jpg,Girl1_Lark_25.jpg,Juno,Lark,Juno,Lark,50,25,Lark,Lark,25,right,5.298215
no,Girl1_Clarendon_100.jpg,Girl1_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,100,25,Clarendon,Clarendon,25,right,0.923448
no,Girl1_OG.jpg,Girl1_Juno_25.jpg,OG,Juno,Juno,Juno,0,25,OG,Juno,0,left,11.971515
no,Girl1_Lark_75.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,75,50,Juno,Juno,50,right,0.892023
no,Girl2_Juno_100.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,100,75,Lark,Lark,75,right,1.43039
no,Girl2_Clarendon_75.jpg,Girl2_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,75,25,Lark,Lark,25,right,1.639293
no,Girl1_Juno_25.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,25,25,Clarendon,Clarendon,25,right,2.706092
no,Girl2_Juno_25.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,25,25,Juno,Juno,25,left,4.078545
no,Girl1_Lark_50.jpg,Girl1_Juno_100.jpg,Lark,Juno,Lark,Juno,50,100,Lark,Lark,50,left,0.923644
no,Girl1_Juno_75.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,75,75,Juno,Juno,75,left,1.495377
no,Girl2_Clarendon_100.jpg,Girl2_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,100,100,Juno,Juno,100,right,0.728353
no,Girl1_Clarendon_75.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,75,25,Juno,Juno,25,right,3.753664
no,Girl2_Juno_25.jpg,Girl2_Lark_25.jpg,Juno,Lark,Juno,Lark,25,25,Juno,Juno,25,left,2.239888
no,Girl1_Juno_100.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,100,75,Clarendon,Clarendon,75,right,1.79486
no,Girl2_Lark_50.jpg,Girl2_Lark_100.jpg,Lark,Lark,Lark,Lark,50,100,Lark,Lark,50,left,1.074114
no,Girl1_Juno_25.jpg,Girl1_Lark_50.jpg,Juno,Lark,Juno,Lark,25,50,Lark,Lark,50,right,2.856309
no,Girl2_Lark_25.jpg,Girl2_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,25,50,Lark,Lark,25,left,1.01659
no,Girl2_Clarendon_100.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,100,50,Lark,Lark,50,right,0.945497
no,Girl1_Juno_50.jpg,Girl1_Lark_50.jpg,Juno,Lark,Juno,Lark,50,50,Lark,Lark,50,right,0.709887
