user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,100,100,Lark,100,6.397152
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,25,25,Clarendon,25,4.862115
yes,Ocean_Lark_50.jpg,Ocean_Lark_75.jpg,Lark,Lark,50,75,Lark,50,1.839862
yes,Ocean_Juno_100.jpg,Ocean_Juno_50.jpg,Juno,Juno,100,50,Juno,50,0.863875
yes,Ocean_Juno_75.jpg,Ocean_Juno_25.jpg,Juno,Juno,75,25,Juno,25,1.475496
yes,Ocean_Lark_50.jpg,Ocean_Clarendon_75.jpg,Lark,Clarendon,50,75,Clarendon,75,0.841144
yes,Ocean_OG.jpg,Ocean_Clarendon_100.jpg,OG,Clarendon,0,100,Clarendon,100,1.847569
yes,Ocean_Juno_25.jpg,Ocean_Lark_75.jpg,Juno,Lark,25,75,Juno,25,0.910997
yes,Ocean_Clarendon_50.jpg,Ocean_Juno_75.jpg,Clarendon,Juno,50,75,Juno,75,0.814684
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,25,100,Lark,25,91.977326
yes,Girl1_Juno_75.jpg,Girl1_Juno_100.jpg,Juno,Juno,75,100,Juno,100,2.316999
yes,Girl1_Clarendon_100.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,100,50,Clarendon,100,1.885353
yes,Ocean_Clarendon_25.jpg,Ocean_Juno_75.jpg,Clarendon,Juno,25,75,Clarendon,25,0.883904
yes,Girl1_OG.jpg,Girl1_Clarendon_75.jpg,OG,Clarendon,0,75,Clarendon,75,0.659624
yes,Girl1_Clarendon_100.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,100,75,Clarendon,100,0.549582
yes,Girl1_Juno_25.jpg,Girl1_Lark_50.jpg,Juno,Lark,25,50,Lark,50,0.933961
yes,Girl1_Lark_25.jpg,Girl1_Juno_50.jpg,Lark,Juno,25,50,Lark,25,0.620293
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_75.jpg,Clarendon,Lark,100,75,Lark,75,0.655845
yes,Ocean_Juno_75.jpg,Ocean_Lark_75.jpg,Juno,Lark,75,75,Lark,75,0.662863
yes,Ocean_Clarendon_100.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,100,100,Clarendon,100,0.449773
yes,Girl1_Juno_50.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,50,50,Clarendon,50,50.649687
yes,Ocean_Clarendon_50.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,50,50,Clarendon,50,0.818931
yes,Ocean_Lark_25.jpg,Ocean_Lark_100.jpg,Lark,Lark,25,100,Lark,100,0.839928
yes,Girl1_Juno_100.jpg,Girl1_Lark_25.jpg,Juno,Lark,100,25,Juno,100,0.491331
yes,Girl1_Juno_50.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,50,25,Clarendon,25,0.6465
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,25,25,Clarendon,25,0.573217
yes,Ocean_Clarendon_100.jpg,Ocean_Clarendon_75.jpg,Clarendon,Clarendon,100,75,Clarendon,75,0.407513
yes,Ocean_Clarendon_75.jpg,Ocean_Lark_100.jpg,Clarendon,Lark,75,100,Clarendon,75,0.39321
yes,Ocean_Clarendon_50.jpg,Ocean_OG.jpg,Clarendon,OG,50,0,OG,0,0.335046
yes,Ocean_Clarendon_50.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,50,100,Juno,100,0.35476
yes,Ocean_Juno_25.jpg,Ocean_OG.jpg,Juno,OG,25,0,OG,0,0.384851
yes,Ocean_Juno_25.jpg,Ocean_Juno_50.jpg,Juno,Juno,25,50,Juno,50,0.356883
yes,Ocean_Clarendon_100.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,100,50,Juno,50,0.440897
yes,Girl1_Lark_50.jpg,Girl1_Lark_75.jpg,Lark,Lark,50,75,Lark,75,0.406933
yes,Ocean_Clarendon_75.jpg,Ocean_Clarendon_50.jpg,Clarendon,Clarendon,75,50,Clarendon,75,1.079361
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,25,75,Clarendon,75,0.331117
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,75,75,Clarendon,75,0.305013
yes,Ocean_OG.jpg,Ocean_Lark_50.jpg,OG,Lark,0,50,Lark,50,0.349364
yes,Ocean_Juno_75.jpg,Ocean_Juno_50.jpg,Juno,Juno,75,50,Juno,75,0.073453
yes,Ocean_Lark_50.jpg,Ocean_Lark_100.jpg,Lark,Lark,50,100,Lark,50,0.333777
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,50,50,Lark,50,0.287605
yes,Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,0,25,OG,0,0.527688
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,75,75,Clarendon,75,0.635641
yes,Girl1_OG.jpg,Girl1_Clarendon_25.jpg,OG,Clarendon,0,25,OG,0,0.831995
yes,Girl1_Juno_50.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,50,100,Clarendon,100,0.557295
yes,Ocean_Clarendon_25.jpg,Ocean_Juno_25.jpg,Clarendon,Juno,25,25,Clarendon,25,0.588454
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,100,75,Lark,100,0.792724
yes,Girl1_OG.jpg,Girl1_Clarendon_50.jpg,OG,Clarendon,0,50,OG,0,0.808682
yes,Ocean_Lark_75.jpg,Ocean_Clarendon_75.jpg,Lark,Clarendon,75,75,Clarendon,75,0.594382
yes,Girl1_Lark_25.jpg,Girl1_Juno_75.jpg,Lark,Juno,25,75,Lark,25,0.428731
yes,Ocean_Clarendon_100.jpg,Ocean_Clarendon_25.jpg,Clarendon,Clarendon,100,25,Clarendon,100,0.731192
yes,Ocean_Lark_100.jpg,Ocean_Juno_25.jpg,Lark,Juno,100,25,Lark,100,0.377748
yes,Ocean_Juno_25.jpg,Ocean_Clarendon_50.jpg,Juno,Clarendon,25,50,Clarendon,50,0.528857
yes,Girl1_OG.jpg,Girl1_Lark_100.jpg,OG,Lark,0,100,OG,0,0.513698
yes,Ocean_Juno_75.jpg,Ocean_Clarendon_75.jpg,Juno,Clarendon,75,75,Clarendon,75,0.491336
yes,Ocean_Clarendon_75.jpg,Ocean_OG.jpg,Clarendon,OG,75,0,Clarendon,75,0.465392
yes,Ocean_Lark_25.jpg,Ocean_Lark_75.jpg,Lark,Lark,25,75,Lark,75,0.644773
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,100,25,Lark,100,0.514161
yes,Ocean_Juno_100.jpg,Ocean_Lark_75.jpg,Juno,Lark,100,75,Lark,75,0.516801
yes,Ocean_Lark_75.jpg,Ocean_OG.jpg,Lark,OG,75,0,Lark,75,0.38307
yes,Ocean_Juno_100.jpg,Ocean_Juno_25.jpg,Juno,Juno,100,25,Juno,25,0.484895
yes,Girl1_Juno_50.jpg,Girl1_Lark_75.jpg,Juno,Lark,50,75,Juno,50,0.443461
yes,Ocean_Clarendon_100.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,100,25,Lark,25,0.474041
yes,Ocean_Juno_50.jpg,Ocean_Clarendon_25.jpg,Juno,Clarendon,50,25,Juno,50,0.459732
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,25,100,Clarendon,100,0.453227
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,100,50,Clarendon,100,0.412039
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,25,50,Lark,50,0.391227
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,75,50,Lark,75,0.499277
yes,Ocean_Lark_50.jpg,Ocean_Juno_50.jpg,Lark,Juno,50,50,Juno,50,0.49929
yes,Girl1_Juno_75.jpg,Girl1_Lark_75.jpg,Juno,Lark,75,75,Juno,75,0.374624
yes,Ocean_Lark_100.jpg,Ocean_Juno_75.jpg,Lark,Juno,100,75,Juno,75,0.418176
yes,Girl1_Lark_100.jpg,Girl1_Lark_75.jpg,Lark,Lark,100,75,Lark,100,0.548132
yes,Girl1_Lark_50.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,50,75,Clarendon,75,0.443919
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,25,100,Clarendon,100,0.454322
yes,Ocean_Clarendon_100.jpg,Ocean_Clarendon_50.jpg,Clarendon,Clarendon,100,50,Clarendon,100,0.407725
yes,Ocean_Juno_100.jpg,Ocean_Clarendon_25.jpg,Juno,Clarendon,100,25,Clarendon,25,0.41043
yes,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,25,100,Juno,25,0.5096
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,50,100,Lark,100,0.393976
yes,Girl1_OG.jpg,Girl1_Clarendon_100.jpg,OG,Clarendon,0,100,Clarendon,100,0.370267
yes,Girl1_Juno_25.jpg,Girl1_Juno_100.jpg,Juno,Juno,25,100,Juno,25,1.090403
yes,Girl1_OG.jpg,Girl1_Juno_100.jpg,OG,Juno,0,100,Juno,100,0.56101
yes,Ocean_Juno_50.jpg,Ocean_Lark_75.jpg,Juno,Lark,50,75,Juno,50,0.739321
yes,Ocean_Lark_50.jpg,Ocean_Juno_75.jpg,Lark,Juno,50,75,Lark,50,0.361589
yes,Girl1_Lark_100.jpg,Girl1_Juno_100.jpg,Lark,Juno,100,100,Lark,100,0.569754
yes,Girl1_Juno_50.jpg,Girl1_Lark_100.jpg,Juno,Lark,50,100,Lark,100,0.724322
yes,Ocean_Clarendon_75.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,75,25,Clarendon,75,0.449899
yes,Ocean_Clarendon_50.jpg,Ocean_Lark_75.jpg,Clarendon,Lark,50,75,Lark,75,0.513348
yes,Girl1_Juno_25.jpg,Girl1_Juno_75.jpg,Juno,Juno,25,75,Juno,25,0.442372
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,25,75,Clarendon,75,0.385757
