user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,100,100,Lark,100,8.352954
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,25,25,Lark,25,1.858707
yes,Ocean_Lark_50.jpg,Ocean_Lark_75.jpg,Lark,Lark,50,75,Lark,75,2.078227
yes,Ocean_Juno_100.jpg,Ocean_Juno_50.jpg,Juno,Juno,100,50,Juno,50,1.379434
yes,Ocean_Juno_75.jpg,Ocean_Juno_25.jpg,Juno,Juno,75,25,Juno,25,4.605331
yes,Ocean_Lark_50.jpg,Ocean_Clarendon_75.jpg,Lark,Clarendon,50,75,Clarendon,75,1.831522
yes,Ocean_OG.jpg,Ocean_Clarendon_100.jpg,OG,Clarendon,0,100,OG,0,1.445912
yes,Ocean_Juno_25.jpg,Ocean_Lark_75.jpg,Juno,Lark,25,75,Juno,25,2.038231
yes,Ocean_Clarendon_50.jpg,Ocean_Juno_75.jpg,Clarendon,Juno,50,75,Clarendon,50,3.453779
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,25,100,Clarendon,100,3.183486
yes,Girl1_Juno_75.jpg,Girl1_Juno_100.jpg,Juno,Juno,75,100,Juno,75,7.215148
yes,Girl1_Clarendon_100.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,100,50,Clarendon,100,4.586055
yes,Ocean_Clarendon_25.jpg,Ocean_Juno_75.jpg,Clarendon,Juno,25,75,Juno,75,2.275661
yes,Girl1_OG.jpg,Girl1_Clarendon_75.jpg,OG,Clarendon,0,75,Clarendon,75,1.539964
yes,Girl1_Clarendon_100.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,100,75,Clarendon,75,2.092887
yes,Girl1_Juno_25.jpg,Girl1_Lark_50.jpg,Juno,Lark,25,50,Lark,50,4.643486
yes,Girl1_Lark_25.jpg,Girl1_Juno_50.jpg,Lark,Juno,25,50,Lark,25,4.023654
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_75.jpg,Clarendon,Lark,100,75,Clarendon,100,4.120244
yes,Ocean_Juno_75.jpg,Ocean_Lark_75.jpg,Juno,Lark,75,75,Lark,75,1.643035
yes,Ocean_Clarendon_100.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,100,100,Clarendon,100,2.091505
yes,Girl1_Juno_50.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,50,50,Clarendon,50,2.04296
yes,Ocean_Clarendon_50.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,50,50,Juno,50,0.936932
