usage,image_a,image_b,f_a_og,f_b_og,f_a,f_b,i_a,i_b,chosen_f_og,chosen_f,chosen_i,left_right,resptime
no,Girl1_Juno_25.jpg,Girl1_Juno_75.jpg,Juno,Juno,Juno,Juno,25,75,Juno,Juno,25,left,17.255236
no,Girl1_Lark_75.jpg,Girl1_Lark_100.jpg,Lark,Lark,Lark,Lark,75,100,Lark,Lark,75,left,14.11268
no,Girl2_Juno_50.jpg,Girl2_Lark_100.jpg,Juno,Lark,Juno,Lark,50,100,Juno,Juno,50,left,5.094547
no,Girl2_OG.jpg,Girl2_Clarendon_50.jpg,OG,Clarendon,Clarendon,Clarendon,0,50,Clarendon,Clarendon,50,right,3.231062
no,Girl1_Lark_50.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,50,100,Lark,Lark,50,left,6.834639
no,Girl1_Lark_100.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,100,50,Juno,Juno,50,right,17.88431
no,Girl1_Juno_75.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,75,75,Clarendon,Clarendon,75,right,5.959942
no,Girl1_Lark_75.jpg,Girl1_Lark_25.jpg,Lark,Lark,Lark,Lark,75,25,Lark,Lark,25,right,4.608122
no,Girl2_Lark_75.jpg,Girl2_Lark_100.jpg,Lark,Lark,Lark,Lark,75,100,Lark,Lark,75,left,8.147599
no,Girl2_Juno_25.jpg,Girl2_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,25,75,Juno,Juno,25,left,6.281337
no,Girl1_Lark_50.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,Lark,Clarendon,50,25,Clarendon,Clarendon,25,right,6.758087
no,Girl1_OG.jpg,Girl1_Juno_100.jpg,OG,Juno,Juno,Juno,0,100,OG,Juno,0,left,2.567299
no,Girl2_Clarendon_25.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,25,100,Clarendon,Clarendon,25,left,1.558907
