usage,image_a,image_b,f_a_og,f_b_og,f_a,f_b,i_a,i_b,chosen_f_og,chosen_f,chosen_i,left_right,resptime
yes,Girl1_Clarendon_75.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,75,100,Clarendon,Clarendon,75,left,25.326292
yes,Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,Lark,Lark,0,25,Lark,Lark,25,right,4.533264
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,6.651517
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,50,75,Juno,Juno,75,right,4.504264
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Juno,Juno,75,right,1.376705
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,1.995496
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,25,100,Clarendon,Clarendon,100,right,1.70423
yes,Girl1_Juno_100.jpg,Girl1_OG.jpg,Juno,OG,Juno,Juno,100,0,Juno,Juno,100,left,2.239832
yes,Girl1_OG.jpg,Girl1_Lark_50.jpg,OG,Lark,Lark,Lark,0,50,OG,Lark,0,left,3.976445
yes,Girl2_Juno_50.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,50,25,Juno,Juno,50,left,2.00342
yes,Girl1_Juno_75.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Juno,Juno,75,left,4.728673
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,75,50,Clarendon,Clarendon,50,right,0.687675
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,0.970854
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Clarendon,Clarendon,75,left,1.425809
yes,Girl1_Lark_100.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,100,50,Juno,Juno,50,right,0.925964
yes,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,25,100,Juno,Juno,25,left,0.612817
yes,Girl1_Juno_100.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,100,50,Clarendon,Clarendon,50,right,0.862431
yes,Girl2_Juno_75.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,75,75,Juno,Juno,75,left,2.379073
yes,Girl2_Lark_75.jpg,Girl2_Juno_25.jpg,Lark,Juno,Lark,Juno,75,25,Juno,Juno,25,right,0.814406
yes,Girl2_Clarendon_75.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,75,25,Clarendon,Clarendon,75,left,0.852174
yes,Girl2_Juno_25.jpg,Girl2_Juno_75.jpg,Juno,Juno,Juno,Juno,25,75,Juno,Juno,75,right,4.941119
yes,Girl1_OG.jpg,Girl1_Lark_75.jpg,OG,Lark,Lark,Lark,0,75,OG,Lark,0,left,2.934902
