usage,image_a,image_b,filter_a,filter_b,coresp_filter_a,coresp_filter_b,intensity_a,intensity_b,selected_filter,coresp_selected_filter,selected_intensity,left_right,resptime
yes,Girl1_Clarendon_100.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Juno,Juno,75,right,12.450967
yes,Girl1_Lark_25.jpg,Girl1_Lark_50.jpg,Lark,Lark,Lark,Lark,25,50,Lark,Lark,25,left,7.183007
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,75,100,Clarendon,Clarendon,100,right,0.595828
yes,Girl2_Lark_25.jpg,Girl2_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,25,50,Lark,Lark,25,left,1.420278
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,25,100,Lark,Lark,100,right,0.712883
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,25,75,Clarendon,Clarendon,75,right,0.703916
yes,Girl1_Juno_100.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,100,25,Juno,Juno,100,left,0.898927
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,75,Clarendon,Clarendon,75,right,0.533282
yes,Girl2_Lark_50.jpg,Girl2_OG.jpg,Lark,OG,Lark,Lark,50,0,OG,Lark,0,right,25.003363
yes,Girl2_Juno_75.jpg,Girl2_Juno_100.jpg,Juno,Juno,Juno,Juno,75,100,Juno,Juno,75,left,0.742177
yes,Girl2_OG.jpg,Girl2_Juno_100.jpg,OG,Juno,Juno,Juno,0,100,OG,Juno,0,left,2.150799
yes,Girl2_Juno_75.jpg,Girl2_Juno_25.jpg,Juno,Juno,Juno,Juno,75,25,Juno,Juno,75,left,0.86555
yes,Girl2_Juno_75.jpg,Girl2_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Lark,Lark,100,right,1.526063
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,75,75,Juno,Juno,75,left,0.719314
yes,Girl1_Clarendon_50.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,50,0,OG,Clarendon,0,right,0.672854
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,Lark,Clarendon,100,75,Lark,Lark,100,left,0.647924
yes,Girl1_OG.jpg,Girl1_Juno_25.jpg,OG,Juno,Juno,Juno,0,25,Juno,Juno,25,right,0.69952
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Clarendon,Clarendon,100,left,0.583266
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,25,25,Juno,Juno,25,right,0.808441
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,25,100,Clarendon,Clarendon,25,left,0.518793
