usage,image,filter,intensity,response,resptime
yes,Girl2_Juno_75.jpg,Juno,75,3,9.567492
yes,Lake_Lark_0.jpg,Lark,0,3,11.616465
yes,Lake_Juno_75.jpg,Juno,75,4,1.182185
yes,Lake_Clarendon_100.jpg,Clarendon,100,5,1.368511
yes,Girl2_Juno_50.jpg,Juno,50,3,10.119317
yes,Girl2_Lark_0.jpg,Lark,0,1,1.28411
yes,Girl1_Lark_50.jpg,Lark,50,4,2.208571
yes,Girl1_Clarendon_0.jpg,Clarendon,0,2,1.923091
yes,Lake_Juno_50.jpg,Juno,50,3,2.243248
yes,Lake_Lark_100.jpg,Lark,100,5,2.314514
yes,Girl1_Juno_100.jpg,Juno,100,5,1.213957
yes,Temple_Lark_75.jpg,Lark,75,2,4.214562
yes,Girl1_Lark_0.jpg,Lark,0,2,1.56067
yes,Temple_Clarendon_0.jpg,Clarendon,0,2,2.081489
yes,Girl1_Clarendon_50.jpg,Clarendon,50,4,2.936753
yes,Girl2_Clarendon_0.jpg,Clarendon,0,2,2.357651
yes,Temple_Clarendon_100.jpg,Clarendon,100,5,1.830275
yes,Lake_Juno_25.jpg,Juno,25,3,3.584363
yes,Girl2_Clarendon_100.jpg,Clarendon,100,5,1.19571
yes,Girl2_Juno_100.jpg,Juno,100,5,1.531356
yes,Girl2_Clarendon_75.jpg,Clarendon,75,5,1.375198
yes,Girl2_Clarendon_50.jpg,Clarendon,50,3,1.728567
yes,Girl1_Clarendon_25.jpg,Clarendon,25,3,2.953229
yes,Lake_Juno_100.jpg,Juno,100,4,2.349416
yes,Girl2_Lark_50.jpg,Lark,50,4,1.684896
yes,Girl1_Lark_25.jpg,Lark,25,2,2.073942
yes,Girl1_Clarendon_100.jpg,Clarendon,100,5,1.362151
yes,Temple_Juno_25.jpg,Juno,25,3,1.712268
yes,Lake_Clarendon_50.jpg,Clarendon,50,4,1.834622
yes,Girl2_Lark_25.jpg,Lark,25,3,1.456193
yes,Temple_Clarendon_75.jpg,Clarendon,75,5,1.887527
yes,Lake_Lark_25.jpg,Lark,25,5,1.524475
yes,Temple_Clarendon_25.jpg,Clarendon,25,3,3.069454
yes,Temple_Juno_75.jpg,Juno,75,3,4.266976
yes,Girl2_Lark_75.jpg,Lark,75,4,1.58493
yes,Girl2_Clarendon_25.jpg,Clarendon,25,2,2.511068
yes,Lake_Lark_75.jpg,Lark,75,5,1.382517
yes,Temple_Lark_50.jpg,Lark,50,3,1.98347
yes,Temple_Juno_0.jpg,Juno,0,2,1.563355
yes,Girl1_Lark_75.jpg,Lark,75,4,1.228138
yes,Temple_Lark_100.jpg,Lark,100,4,1.373752
yes,Girl1_Clarendon_75.jpg,Clarendon,75,5,1.890806
yes,Temple_Juno_50.jpg,Juno,50,3,1.740655
yes,Girl1_Juno_75.jpg,Juno,75,4,1.304433
yes,Temple_Clarendon_50.jpg,Clarendon,50,4,1.680884
yes,Girl2_Juno_0.jpg,Juno,0,2,4.348869
yes,Girl1_Lark_100.jpg,Lark,100,4,2.304013
yes,Lake_Clarendon_75.jpg,Clarendon,75,5,0.914421
yes,Girl2_Juno_25.jpg,Juno,25,2,1.495432
yes,Temple_Lark_25.jpg,Lark,25,3,1.327243
yes,Girl1_Juno_50.jpg,Juno,50,3,2.000148
yes,Lake_Juno_0.jpg,Juno,0,3,1.859494
yes,Lake_Lark_50.jpg,Lark,50,5,1.188903
yes,Girl1_Juno_0.jpg,Juno,0,2,1.498954
yes,Girl2_Lark_100.jpg,Lark,100,5,1.172807
yes,Lake_Clarendon_25.jpg,Clarendon,25,4,1.335123
yes,Temple_Juno_100.jpg,Juno,100,3,1.962097
yes,Girl1_Juno_25.jpg,Juno,25,2,1.692416
yes,Temple_Lark_0.jpg,Lark,0,2,2.311904
yes,Lake_Clarendon_0.jpg,Clarendon,0,4,1.992491
