user,image_a,filter_a,intensity,response,resptime
yes,Girl2_Juno_25.jpg,Juno,25,2,5.903824
yes,Girl2_Juno_50.jpg,Juno,50,3,1.35966
yes,Ocean_Clarendon_25.jpg,Clarendon,25,1,3.138711
yes,Girl1_OG.jpg,OG,0,2,4.45582
yes,Lake_Lark_100.jpg,Lark,100,3,4.221286
yes,Ocean_Lark_50.jpg,Lark,50,1,1.617409
yes,Girl1_Lark_50.jpg,Lark,50,3,4.296168
yes,Mountains_Juno_100.jpg,Juno,100,2,6.884949
yes,Mountains_Lark_100.jpg,Lark,100,4,1.61494
yes,Girl2_Lark_25.jpg,Lark,25,2,3.63863
yes,Girl1_Lark_75.jpg,Lark,75,4,2.673507
yes,Girl2_Lark_75.jpg,Lark,75,5,0.997717
yes,Temple_Clarendon_25.jpg,Clarendon,25,1,1.559263
yes,Mountains_Juno_75.jpg,Juno,75,1,1.107952
yes,Mountains_Lark_25.jpg,Lark,25,3,1.543073
yes,Temple_Clarendon_75.jpg,Clarendon,75,5,1.942543
yes,Girl2_Juno_75.jpg,Juno,75,4,1.691226
yes,Temple_Clarendon_50.jpg,Clarendon,50,5,1.830953
yes,Ocean_Juno_25.jpg,Juno,25,1,2.28877
yes,Lake_Clarendon_75.jpg,Clarendon,75,2,6.273506
yes,Temple_Juno_25.jpg,Juno,25,1,1.486146
yes,Temple_Juno_100.jpg,Juno,100,5,1.423235
yes,Lake_Clarendon_50.jpg,Clarendon,50,4,2.885501
yes,Mountains_Lark_75.jpg,Lark,75,1,1.967126
yes,Girl1_Juno_75.jpg,Juno,75,5,1.448505
yes,Mountains_Clarendon_25.jpg,Clarendon,25,2,3.544057
yes,Mountains_Clarendon_50.jpg,Clarendon,50,1,1.208585
yes,Ocean_Juno_75.jpg,Juno,75,5,1.511012
yes,Girl2_Clarendon_100.jpg,Clarendon,100,5,0.941562
yes,Girl2_Lark_50.jpg,Lark,50,2,1.942865
yes,Mountains_Clarendon_75.jpg,Clarendon,75,1,3.870724
yes,Temple_Juno_50.jpg,Juno,50,4,1.847701
yes,Temple_OG.jpg,OG,0,3,1.044411
yes,Mountains_Lark_50.jpg,Lark,50,1,5.088918
yes,Lake_Clarendon_25.jpg,Clarendon,25,3,2.962195
yes,Girl1_Lark_100.jpg,Lark,100,5,1.056989
yes,Lake_Lark_25.jpg,Lark,25,1,2.943771
yes,Ocean_Clarendon_50.jpg,Clarendon,50,1,1.597656
yes,Girl2_Clarendon_25.jpg,Clarendon,25,3,1.543232
yes,Ocean_Lark_75.jpg,Lark,75,2,5.881047
yes,Mountains_Juno_50.jpg,Juno,50,1,1.993193
yes,Ocean_Lark_100.jpg,Lark,100,5,1.373218
yes,Girl1_Clarendon_50.jpg,Clarendon,50,4,1.180377
yes,Girl1_Lark_25.jpg,Lark,25,3,0.762696
yes,Ocean_Clarendon_100.jpg,Clarendon,100,4,1.176546
yes,Lake_Juno_100.jpg,Juno,100,5,1.236288
yes,Temple_Juno_75.jpg,Juno,75,2,1.450473
yes,Lake_Clarendon_100.jpg,Clarendon,100,4,1.570652
yes,Temple_Lark_25.jpg,Lark,25,3,2.401437
yes,Mountains_Juno_25.jpg,Juno,25,1,1.661535
yes,Girl1_Clarendon_100.jpg,Clarendon,100,5,1.21884
yes,Temple_Lark_50.jpg,Lark,50,3,3.725747
yes,Lake_Juno_75.jpg,Juno,75,1,1.754273
yes,Ocean_Lark_25.jpg,Lark,25,1,1.30075
yes,Lake_Juno_25.jpg,Juno,25,2,2.155177
yes,Temple_Lark_75.jpg,Lark,75,3,2.603541
