usage,image,filter,intensity,response,resptime
yes,Girl2_Juno_75.jpg,Juno,75,4,10.544127
yes,Lake_Lark_0.jpg,Lark,0,1,3.321952
yes,Lake_Juno_75.jpg,Juno,75,3,2.23942
yes,Lake_Clarendon_100.jpg,Clarendon,100,5,1.024291
yes,Girl2_Juno_50.jpg,Juno,50,3,1.580267
yes,Girl2_Lark_0.jpg,Lark,0,2,1.245244
yes,Girl1_Lark_50.jpg,Lark,50,2,1.980769
yes,Girl1_Clarendon_0.jpg,Clarendon,0,1,1.409117
yes,Lake_Juno_50.jpg,Juno,50,3,3.686784
yes,Lake_Lark_100.jpg,Lark,100,4,2.75571
yes,Girl1_Juno_100.jpg,Juno,100,4,2.008211
yes,Temple_Lark_75.jpg,Lark,75,3,1.353419
yes,Girl1_Lark_0.jpg,Lark,0,2,1.470572
yes,Temple_Clarendon_0.jpg,Clarendon,0,1,1.635856
yes,Girl1_Clarendon_50.jpg,Clarendon,50,3,3.539647
yes,Girl2_Clarendon_0.jpg,Clarendon,0,1,1.082634
yes,Temple_Clarendon_100.jpg,Clarendon,100,5,1.272982
yes,Lake_Juno_25.jpg,Juno,25,2,2.589637
yes,Girl2_Clarendon_100.jpg,Clarendon,100,4,1.374766
yes,Girl2_Juno_100.jpg,Juno,100,2,1.176296
yes,Girl2_Clarendon_75.jpg,Clarendon,75,3,0.789615
yes,Girl2_Clarendon_50.jpg,Clarendon,50,3,1.479901
yes,Girl1_Clarendon_25.jpg,Clarendon,25,2,1.138494
yes,Lake_Juno_100.jpg,Juno,100,3,3.296235
yes,Girl2_Lark_50.jpg,Lark,50,3,3.350755
yes,Girl1_Lark_25.jpg,Lark,25,2,1.819111
yes,Girl1_Clarendon_100.jpg,Clarendon,100,4,1.817455
yes,Temple_Juno_25.jpg,Juno,25,2,2.069244
yes,Lake_Clarendon_50.jpg,Clarendon,50,4,1.112192
yes,Girl2_Lark_25.jpg,Lark,25,3,1.632292
yes,Temple_Clarendon_75.jpg,Clarendon,75,4,1.537717
yes,Lake_Lark_25.jpg,Lark,25,2,0.901052
yes,Temple_Clarendon_25.jpg,Clarendon,25,2,2.892626
yes,Temple_Juno_75.jpg,Juno,75,1,1.03405
yes,Girl2_Lark_75.jpg,Lark,75,3,5.527598
yes,Girl2_Clarendon_25.jpg,Clarendon,25,2,1.715238
yes,Lake_Lark_75.jpg,Lark,75,4,1.182369
yes,Temple_Lark_50.jpg,Lark,50,3,1.315618
yes,Temple_Juno_0.jpg,Juno,0,2,0.986011
yes,Girl1_Lark_75.jpg,Lark,75,3,0.962826
yes,Temple_Lark_100.jpg,Lark,100,4,2.134431
yes,Girl1_Clarendon_75.jpg,Clarendon,75,4,1.065963
yes,Temple_Juno_50.jpg,Juno,50,2,1.017422
yes,Girl1_Juno_75.jpg,Juno,75,3,0.680152
yes,Temple_Clarendon_50.jpg,Clarendon,50,4,1.370734
yes,Girl2_Juno_0.jpg,Juno,0,1,1.302356
yes,Girl1_Lark_100.jpg,Lark,100,3,1.300381
yes,Lake_Clarendon_75.jpg,Clarendon,75,5,1.099476
yes,Girl2_Juno_25.jpg,Juno,25,2,1.740222
yes,Temple_Lark_25.jpg,Lark,25,3,1.529427
yes,Girl1_Juno_50.jpg,Juno,50,2,2.813017
yes,Lake_Juno_0.jpg,Juno,0,1,2.657836
yes,Lake_Lark_50.jpg,Lark,50,3,1.169047
yes,Girl1_Juno_0.jpg,Juno,0,2,2.75462
yes,Girl2_Lark_100.jpg,Lark,100,4,1.076377
yes,Lake_Clarendon_25.jpg,Clarendon,25,3,1.251097
yes,Temple_Juno_100.jpg,Juno,100,2,1.462948
yes,Girl1_Juno_25.jpg,Juno,25,1,1.687596
yes,Temple_Lark_0.jpg,Lark,0,3,2.364891
yes,Lake_Clarendon_0.jpg,Clarendon,0,2,3.380173
