usage,image,filter,intensity,response,resptime
no,Lake_Lark_75.jpg,Lark,75,1,12.180799
no,Girl1_Juno_0.jpg,Juno,0,3,7.086018
no,Girl2_Juno_25.jpg,Juno,25,4,4.602758
no,Girl1_Juno_75.jpg,Juno,75,5,1.652529
no,Lake_Juno_0.jpg,Juno,0,1,7.602922
no,Girl2_Juno_100.jpg,Juno,100,4,2.764822
no,Girl1_Lark_25.jpg,Lark,25,3,1.327546
no,Girl1_Clarendon_50.jpg,Clarendon,50,3,1.39298
no,Lake_Juno_100.jpg,Juno,100,2,3.735862
no,Girl1_Lark_100.jpg,Lark,100,3,3.3792
no,Girl2_Clarendon_75.jpg,Clarendon,75,4,2.633705
no,Girl2_Lark_25.jpg,Lark,25,4,2.389018
no,Lake_Clarendon_100.jpg,Clarendon,100,4,2.029122
no,Lake_Clarendon_25.jpg,Clarendon,25,3,7.525643
no,Girl1_Lark_50.jpg,Lark,50,3,2.221335
no,Girl1_Juno_50.jpg,Juno,50,4,3.784606
no,Girl1_Lark_75.jpg,Lark,75,4,2.121409
no,Girl1_Clarendon_0.jpg,Clarendon,0,2,1.640852
no,Temple_Lark_50.jpg,Lark,50,2,4.559478
no,Temple_Clarendon_0.jpg,Clarendon,0,1,2.386099
no,Girl1_Clarendon_75.jpg,Clarendon,75,3,1.691713
no,Temple_Clarendon_75.jpg,Clarendon,75,3,3.125224
no,Lake_Clarendon_50.jpg,Clarendon,50,2,3.520846
no,Temple_Juno_50.jpg,Juno,50,2,6.705897
no,Temple_Juno_25.jpg,Juno,25,2,1.428819
no,Temple_Lark_100.jpg,Lark,100,2,0.881659
no,Temple_Lark_0.jpg,Lark,0,2,3.603751
no,Girl1_Juno_25.jpg,Juno,25,3,5.088271
no,Girl2_Clarendon_100.jpg,Clarendon,100,5,1.828822
no,Girl2_Juno_75.jpg,Juno,75,4,1.116717
no,Temple_Lark_75.jpg,Lark,75,2,1.755303
no,Girl2_Clarendon_25.jpg,Clarendon,25,3,1.342856
no,Temple_Clarendon_25.jpg,Clarendon,25,2,2.122094
no,Temple_Juno_0.jpg,Juno,0,3,1.366688
no,Girl2_Clarendon_0.jpg,Clarendon,0,4,1.382629
no,Girl2_Lark_75.jpg,Lark,75,5,1.1821
no,Lake_Juno_75.jpg,Juno,75,2,2.285497
no,Girl1_Juno_100.jpg,Juno,100,4,1.424996
no,Lake_Juno_25.jpg,Juno,25,2,1.349566
no,Girl2_Juno_50.jpg,Juno,50,4,1.271544
no,Girl1_Clarendon_100.jpg,Clarendon,100,4,2.848182
no,Lake_Clarendon_0.jpg,Clarendon,0,2,1.232541
no,Girl2_Lark_50.jpg,Lark,50,4,3.368758
no,Lake_Clarendon_75.jpg,Clarendon,75,3,1.656986
no,Lake_Lark_100.jpg,Lark,100,5,2.893329
no,Temple_Lark_25.jpg,Lark,25,2,3.981087
no,Lake_Lark_50.jpg,Lark,50,2,1.491475
no,Temple_Juno_100.jpg,Juno,100,2,4.598941
no,Temple_Clarendon_50.jpg,Clarendon,50,3,1.287324
no,Girl2_Clarendon_50.jpg,Clarendon,50,4,1.058911
no,Lake_Juno_50.jpg,Juno,50,2,1.478106
no,Lake_Lark_25.jpg,Lark,25,3,3.278506
no,Girl1_Clarendon_25.jpg,Clarendon,25,3,1.755135
no,Girl2_Juno_0.jpg,Juno,0,3,2.715223
no,Girl2_Lark_0.jpg,Lark,0,3,1.702193
no,Girl2_Lark_100.jpg,Lark,100,5,1.474932
no,Girl1_Lark_0.jpg,Lark,0,3,3.895484
no,Lake_Lark_0.jpg,Lark,0,2,1.584645
no,Temple_Juno_75.jpg,Juno,75,2,1.492018
no,Temple_Clarendon_100.jpg,Clarendon,100,4,1.296496
