usage,image,filter,intensity,response,resptime
yes,Girl2_Juno_75.jpg,Juno,75,3,29.59424
yes,Lake_Lark_0.jpg,Lark,0,2,4.205663
yes,Lake_Juno_75.jpg,Juno,75,2,2.001424
yes,Lake_Clarendon_100.jpg,Clarendon,100,4,3.819484
yes,Girl2_Juno_50.jpg,Juno,50,2,5.557656
yes,Girl2_Lark_0.jpg,Lark,0,1,1.570861
yes,Girl1_Lark_50.jpg,Lark,50,2,2.705934
yes,Girl1_Clarendon_0.jpg,Clarendon,0,3,1.548646
yes,Lake_Juno_50.jpg,Juno,50,2,2.843062
yes,Lake_Lark_100.jpg,Lark,100,3,1.902048
yes,Girl1_Juno_100.jpg,Juno,100,3,5.10193
yes,Temple_Lark_75.jpg,Lark,75,2,1.995392
yes,Girl1_Lark_0.jpg,Lark,0,2,6.930385
yes,Temple_Clarendon_0.jpg,Clarendon,0,2,1.765405
yes,Girl1_Clarendon_50.jpg,Clarendon,50,2,5.620008
yes,Girl2_Clarendon_0.jpg,Clarendon,0,2,2.5726
yes,Temple_Clarendon_100.jpg,Clarendon,100,1,1.97259
yes,Lake_Juno_25.jpg,Juno,25,1,1.037801
yes,Girl2_Clarendon_100.jpg,Clarendon,100,5,3.99431
yes,Girl2_Juno_100.jpg,Juno,100,4,4.002783
yes,Girl2_Clarendon_75.jpg,Clarendon,75,4,3.308091
yes,Girl2_Clarendon_50.jpg,Clarendon,50,2,1.36567
yes,Girl1_Clarendon_25.jpg,Clarendon,25,3,5.143126
yes,Lake_Juno_100.jpg,Juno,100,2,1.049215
yes,Girl2_Lark_50.jpg,Lark,50,3,5.765049
yes,Girl1_Lark_25.jpg,Lark,25,2,1.71827
yes,Girl1_Clarendon_100.jpg,Clarendon,100,5,1.677985
yes,Temple_Juno_25.jpg,Juno,25,2,2.33959
yes,Lake_Clarendon_50.jpg,Clarendon,50,3,1.770984
yes,Girl2_Lark_25.jpg,Lark,25,2,1.720119
yes,Temple_Clarendon_75.jpg,Clarendon,75,2,1.375634
yes,Lake_Lark_25.jpg,Lark,25,1,1.430746
yes,Temple_Clarendon_25.jpg,Clarendon,25,1,1.260068
yes,Temple_Juno_75.jpg,Juno,75,4,1.326503
yes,Girl2_Lark_75.jpg,Lark,75,3,4.513248
yes,Girl2_Clarendon_25.jpg,Clarendon,25,3,2.585648
yes,Lake_Lark_75.jpg,Lark,75,3,7.427861
yes,Temple_Lark_50.jpg,Lark,50,2,1.404695
yes,Temple_Juno_0.jpg,Juno,0,1,1.065555
yes,Girl1_Lark_75.jpg,Lark,75,3,3.2903
yes,Temple_Lark_100.jpg,Lark,100,3,1.70771
yes,Girl1_Clarendon_75.jpg,Clarendon,75,4,1.558834
yes,Temple_Juno_50.jpg,Juno,50,2,1.907613
yes,Girl1_Juno_75.jpg,Juno,75,3,2.094053
yes,Temple_Clarendon_50.jpg,Clarendon,50,2,3.146067
yes,Girl2_Juno_0.jpg,Juno,0,3,2.164514
yes,Girl1_Lark_100.jpg,Lark,100,4,2.413776
yes,Lake_Clarendon_75.jpg,Clarendon,75,5,1.708373
yes,Girl2_Juno_25.jpg,Juno,25,3,5.913774
yes,Temple_Lark_25.jpg,Lark,25,2,2.070664
yes,Girl1_Juno_50.jpg,Juno,50,3,2.750888
yes,Lake_Juno_0.jpg,Juno,0,3,4.799168
yes,Lake_Lark_50.jpg,Lark,50,3,2.094948
yes,Girl1_Juno_0.jpg,Juno,0,3,0.783783
yes,Girl2_Lark_100.jpg,Lark,100,5,1.444842
yes,Lake_Clarendon_25.jpg,Clarendon,25,5,1.248626
yes,Temple_Juno_100.jpg,Juno,100,2,2.233274
yes,Girl1_Juno_25.jpg,Juno,25,4,10.457673
yes,Temple_Lark_0.jpg,Lark,0,1,1.286702
yes,Lake_Clarendon_0.jpg,Clarendon,0,3,4.763149
