usage,image,filter,intensity,response,resptime
no,Girl2_Juno_75.jpg,Juno,75,4,4.459504
no,Lake_Lark_0.jpg,Lark,0,1,4.113098
no,Lake_Juno_75.jpg,Juno,75,3,1.359132
no,Lake_Clarendon_100.jpg,Clarendon,100,5,1.388602
no,Girl2_Juno_50.jpg,Juno,50,3,1.63186
no,Girl2_Lark_0.jpg,Lark,0,1,1.31803
no,Girl1_Lark_50.jpg,Lark,50,2,1.716654
no,Girl1_Clarendon_0.jpg,Clarendon,0,1,1.895575
no,Lake_Juno_50.jpg,Juno,50,3,1.736794
no,Lake_Lark_100.jpg,Lark,100,5,1.144887
no,Girl1_Juno_100.jpg,Juno,100,5,0.965765
no,Temple_Lark_75.jpg,Lark,75,3,2.156225
no,Girl1_Lark_0.jpg,Lark,0,2,1.982907
no,Temple_Clarendon_0.jpg,Clarendon,0,3,1.160301
no,Girl1_Clarendon_50.jpg,Clarendon,50,2,1.410918
no,Girl2_Clarendon_0.jpg,Clarendon,0,2,2.669196
no,Temple_Clarendon_100.jpg,Clarendon,100,4,1.85405
no,Lake_Juno_25.jpg,Juno,25,3,1.608699
no,Girl2_Clarendon_100.jpg,Clarendon,100,5,1.343873
no,Girl2_Juno_100.jpg,Juno,100,5,1.956242
no,Girl2_Clarendon_75.jpg,Clarendon,75,5,1.127348
no,Girl2_Clarendon_50.jpg,Clarendon,50,4,1.191665
no,Girl1_Clarendon_25.jpg,Clarendon,25,2,1.597831
no,Lake_Juno_100.jpg,Juno,100,3,1.192029
no,Girl2_Lark_50.jpg,Lark,50,2,1.54218
no,Girl1_Lark_25.jpg,Lark,25,2,2.679536
no,Girl1_Clarendon_100.jpg,Clarendon,100,5,1.483028
no,Temple_Juno_25.jpg,Juno,25,3,1.448999
no,Lake_Clarendon_50.jpg,Clarendon,50,4,1.461774
no,Girl2_Lark_25.jpg,Lark,25,2,1.921801
no,Temple_Clarendon_75.jpg,Clarendon,75,4,2.931621
no,Lake_Lark_25.jpg,Lark,25,2,1.938055
no,Temple_Clarendon_25.jpg,Clarendon,25,2,1.882659
no,Temple_Juno_75.jpg,Juno,75,3,1.621578
no,Girl2_Lark_75.jpg,Lark,75,5,2.046935
no,Girl2_Clarendon_25.jpg,Clarendon,25,4,3.033998
no,Lake_Lark_75.jpg,Lark,75,4,1.56228
no,Temple_Lark_50.jpg,Lark,50,4,1.506919
no,Temple_Juno_0.jpg,Juno,0,2,1.411468
no,Girl1_Lark_75.jpg,Lark,75,4,1.789276
no,Temple_Lark_100.jpg,Lark,100,4,1.490259
no,Girl1_Clarendon_75.jpg,Clarendon,75,5,2.08976
no,Temple_Juno_50.jpg,Juno,50,2,1.386702
no,Girl1_Juno_75.jpg,Juno,75,3,1.502857
no,Temple_Clarendon_50.jpg,Clarendon,50,2,1.412202
no,Girl2_Juno_0.jpg,Juno,0,2,2.332228
no,Girl1_Lark_100.jpg,Lark,100,5,1.269036
no,Lake_Clarendon_75.jpg,Clarendon,75,5,1.289693
no,Girl2_Juno_25.jpg,Juno,25,3,1.515489
no,Temple_Lark_25.jpg,Lark,25,2,1.429462
no,Girl1_Juno_50.jpg,Juno,50,2,1.330776
no,Lake_Juno_0.jpg,Juno,0,3,1.917589
no,Lake_Lark_50.jpg,Lark,50,5,1.281636
no,Girl1_Juno_0.jpg,Juno,0,2,2.204153
no,Girl2_Lark_100.jpg,Lark,100,5,1.243485
no,Lake_Clarendon_25.jpg,Clarendon,25,4,1.409592
no,Temple_Juno_100.jpg,Juno,100,3,1.375783
no,Girl1_Juno_25.jpg,Juno,25,4,1.616175
no,Temple_Lark_0.jpg,Lark,0,4,3.649204
no,Lake_Clarendon_0.jpg,Clarendon,0,2,2.15414
