usage,image,filter,intensity,response,resptime
no,Lake_Lark_75.jpg,Lark,75,3,12.605726
no,Girl1_Juno_0.jpg,Juno,0,2,3.134608
no,Girl2_Juno_25.jpg,Juno,25,2,2.174805
no,Girl1_Juno_75.jpg,Juno,75,4,1.158855
no,Lake_Juno_0.jpg,Juno,0,1,2.104012
no,Girl2_Juno_100.jpg,Juno,100,4,1.933423
no,Girl1_Lark_25.jpg,Lark,25,2,1.62128
no,Girl1_Clarendon_50.jpg,Clarendon,50,3,1.473286
no,Lake_Juno_100.jpg,Juno,100,4,2.346164
no,Girl1_Lark_100.jpg,Lark,100,5,0.864201
no,Girl2_Clarendon_75.jpg,Clarendon,75,5,1.660185
no,Girl2_Lark_25.jpg,Lark,25,1,1.810219
no,Lake_Clarendon_100.jpg,Clarendon,100,5,1.619248
no,Lake_Clarendon_25.jpg,Clarendon,25,4,1.23114
no,Girl1_Lark_50.jpg,Lark,50,3,2.75205
no,Girl1_Juno_50.jpg,Juno,50,2,2.589003
no,Girl1_Lark_75.jpg,Lark,75,4,3.097644
no,Girl1_Clarendon_0.jpg,Clarendon,0,1,1.046935
no,Temple_Lark_50.jpg,Lark,50,2,4.824245
no,Temple_Clarendon_0.jpg,Clarendon,0,1,1.914684
no,Girl1_Clarendon_75.jpg,Clarendon,75,5,1.771301
no,Temple_Clarendon_75.jpg,Clarendon,75,3,1.717991
no,Lake_Clarendon_50.jpg,Clarendon,50,3,3.074202
no,Temple_Juno_50.jpg,Juno,50,2,1.745193
no,Temple_Juno_25.jpg,Juno,25,1,1.959201
no,Temple_Lark_100.jpg,Lark,100,3,2.488581
no,Temple_Lark_0.jpg,Lark,0,1,1.385674
no,Girl1_Juno_25.jpg,Juno,25,2,3.401002
no,Girl2_Clarendon_100.jpg,Clarendon,100,5,1.04478
no,Girl2_Juno_75.jpg,Juno,75,3,1.403311
no,Temple_Lark_75.jpg,Lark,75,2,2.942379
no,Girl2_Clarendon_25.jpg,Clarendon,25,2,3.202629
no,Temple_Clarendon_25.jpg,Clarendon,25,2,1.382413
no,Temple_Juno_0.jpg,Juno,0,2,4.810649
no,Girl2_Clarendon_0.jpg,Clarendon,0,1,3.916769
no,Girl2_Lark_75.jpg,Lark,75,4,1.610052
no,Lake_Juno_75.jpg,Juno,75,4,2.395263
no,Girl1_Juno_100.jpg,Juno,100,5,0.868005
no,Lake_Juno_25.jpg,Juno,25,3,1.965138
no,Girl2_Juno_50.jpg,Juno,50,3,1.382529
no,Girl1_Clarendon_100.jpg,Clarendon,100,5,1.105825
no,Lake_Clarendon_0.jpg,Clarendon,0,3,2.135981
no,Girl2_Lark_50.jpg,Lark,50,4,1.907823
no,Lake_Clarendon_75.jpg,Clarendon,75,2,1.908066
no,Lake_Lark_100.jpg,Lark,100,3,1.248601
no,Temple_Lark_25.jpg,Lark,25,4,2.011031
no,Lake_Lark_50.jpg,Lark,50,3,6.070969
no,Temple_Juno_100.jpg,Juno,100,5,2.516169
no,Temple_Clarendon_50.jpg,Clarendon,50,1,1.069452
no,Girl2_Clarendon_50.jpg,Clarendon,50,4,1.85408
no,Lake_Juno_50.jpg,Juno,50,2,5.83542
no,Lake_Lark_25.jpg,Lark,25,1,2.29574
no,Girl1_Clarendon_25.jpg,Clarendon,25,1,2.1596
no,Girl2_Juno_0.jpg,Juno,0,1,1.316783
no,Girl2_Lark_0.jpg,Lark,0,1,1.665833
no,Girl2_Lark_100.jpg,Lark,100,5,3.332444
no,Girl1_Lark_0.jpg,Lark,0,2,1.756245
no,Lake_Lark_0.jpg,Lark,0,2,7.605608
no,Temple_Juno_75.jpg,Juno,75,4,1.701071
no,Temple_Clarendon_100.jpg,Clarendon,100,5,0.943277
