usage,image,filter,intensity,response,resptime
no,Girl2_Juno_75.jpg,Juno,75,3,5.736677
no,Lake_Lark_0.jpg,Lark,0,1,1.850345
no,Lake_Juno_75.jpg,Juno,75,4,1.407885
no,Lake_Clarendon_100.jpg,Clarendon,100,5,0.733855
no,Girl2_Juno_50.jpg,Juno,50,3,1.682378
no,Girl2_Lark_0.jpg,Lark,0,2,0.86279
no,Girl1_Lark_50.jpg,Lark,50,3,2.718506
no,Girl1_Clarendon_0.jpg,Clarendon,0,2,1.051693
no,Lake_Juno_50.jpg,Juno,50,2,1.833748
no,Lake_Lark_100.jpg,Lark,100,3,1.089107
no,Girl1_Juno_100.jpg,Juno,100,4,1.410715
no,Temple_Lark_75.jpg,Lark,75,3,3.085086
no,Girl1_Lark_0.jpg,Lark,0,1,1.457726
no,Temple_Clarendon_0.jpg,Clarendon,0,1,1.719177
no,Girl1_Clarendon_50.jpg,Clarendon,50,2,3.270356
no,Girl2_Clarendon_0.jpg,Clarendon,0,1,1.08683
no,Temple_Clarendon_100.jpg,Clarendon,100,4,1.602202
no,Lake_Juno_25.jpg,Juno,25,2,1.221719
no,Girl2_Clarendon_100.jpg,Clarendon,100,5,4.400355
no,Girl2_Juno_100.jpg,Juno,100,5,2.099028
no,Girl2_Clarendon_75.jpg,Clarendon,75,4,1.569631
no,Girl2_Clarendon_50.jpg,Clarendon,50,3,0.977257
no,Girl1_Clarendon_25.jpg,Clarendon,25,1,2.29523
no,Lake_Juno_100.jpg,Juno,100,3,2.245964
no,Girl2_Lark_50.jpg,Lark,50,1,1.48906
no,Girl1_Lark_25.jpg,Lark,25,1,1.346092
no,Girl1_Clarendon_100.jpg,Clarendon,100,5,1.419487
no,Temple_Juno_25.jpg,Juno,25,2,4.347634
no,Lake_Clarendon_50.jpg,Clarendon,50,3,1.645075
no,Girl2_Lark_25.jpg,Lark,25,1,1.441749
no,Temple_Clarendon_75.jpg,Clarendon,75,4,2.827694
no,Lake_Lark_25.jpg,Lark,25,2,1.2862
no,Temple_Clarendon_25.jpg,Clarendon,25,3,1.729143
no,Temple_Juno_75.jpg,Juno,75,4,1.055828
no,Girl2_Lark_75.jpg,Lark,75,4,2.364651
no,Girl2_Clarendon_25.jpg,Clarendon,25,3,1.357724
no,Lake_Lark_75.jpg,Lark,75,1,1.743685
no,Temple_Lark_50.jpg,Lark,50,3,2.686178
no,Temple_Juno_0.jpg,Juno,0,1,1.009709
no,Girl1_Lark_75.jpg,Lark,75,2,3.225575
no,Temple_Lark_100.jpg,Lark,100,2,1.85113
no,Girl1_Clarendon_75.jpg,Clarendon,75,4,1.931112
no,Temple_Juno_50.jpg,Juno,50,2,2.317384
no,Girl1_Juno_75.jpg,Juno,75,3,2.883795
no,Temple_Clarendon_50.jpg,Clarendon,50,3,1.340002
no,Girl2_Juno_0.jpg,Juno,0,1,2.818062
no,Girl1_Lark_100.jpg,Lark,100,5,1.367338
no,Lake_Clarendon_75.jpg,Clarendon,75,4,2.323617
no,Girl2_Juno_25.jpg,Juno,25,2,5.528
no,Temple_Lark_25.jpg,Lark,25,1,1.862624
no,Girl1_Juno_50.jpg,Juno,50,3,1.38637
no,Lake_Juno_0.jpg,Juno,0,2,0.98199
no,Lake_Lark_50.jpg,Lark,50,2,0.980229
no,Girl1_Juno_0.jpg,Juno,0,1,1.431662
no,Girl2_Lark_100.jpg,Lark,100,5,0.895061
no,Lake_Clarendon_25.jpg,Clarendon,25,2,2.608099
no,Temple_Juno_100.jpg,Juno,100,4,1.196203
no,Girl1_Juno_25.jpg,Juno,25,1,1.39399
no,Temple_Lark_0.jpg,Lark,0,1,3.351486
no,Lake_Clarendon_0.jpg,Clarendon,0,2,2.54182
