usage,image,filter,intensity,response,resptime
yes,Girl2_Juno_75.jpg,Juno,75,3,10.426438
yes,Lake_Lark_0.jpg,Lark,0,2,11.329997
yes,Lake_Juno_75.jpg,Juno,75,4,3.430879
yes,Lake_Clarendon_100.jpg,Clarendon,100,5,1.163449
yes,Girl2_Juno_50.jpg,Juno,50,2,4.071965
yes,Girl2_Lark_0.jpg,Lark,0,1,1.954995
yes,Girl1_Lark_50.jpg,Lark,50,3,1.544073
yes,Girl1_Clarendon_0.jpg,Clarendon,0,3,1.210722
yes,Lake_Juno_50.jpg,Juno,50,3,2.445111
yes,Lake_Lark_100.jpg,Lark,100,4,0.936094
yes,Girl1_Juno_100.jpg,Juno,100,4,2.581781
yes,Temple_Lark_75.jpg,Lark,75,3,3.446768
yes,Girl1_Lark_0.jpg,Lark,0,2,1.80765
yes,Temple_Clarendon_0.jpg,Clarendon,0,2,1.538311
yes,Girl1_Clarendon_50.jpg,Clarendon,50,4,1.655676
yes,Girl2_Clarendon_0.jpg,Clarendon,0,1,2.1604
yes,Temple_Clarendon_100.jpg,Clarendon,100,4,3.157508
yes,Lake_Juno_25.jpg,Juno,25,3,2.392474
yes,Girl2_Clarendon_100.jpg,Clarendon,100,5,1.885651
yes,Girl2_Juno_100.jpg,Juno,100,4,2.406685
yes,Girl2_Clarendon_75.jpg,Clarendon,75,4,2.868793
yes,Girl2_Clarendon_50.jpg,Clarendon,50,3,2.130625
yes,Girl1_Clarendon_25.jpg,Clarendon,25,2,2.671165
yes,Lake_Juno_100.jpg,Juno,100,4,5.707853
yes,Girl2_Lark_50.jpg,Lark,50,2,1.662933
yes,Girl1_Lark_25.jpg,Lark,25,2,2.424607
yes,Girl1_Clarendon_100.jpg,Clarendon,100,5,2.275553
yes,Temple_Juno_25.jpg,Juno,25,1,2.866534
yes,Lake_Clarendon_50.jpg,Clarendon,50,5,1.884164
yes,Girl2_Lark_25.jpg,Lark,25,1,6.04529
yes,Temple_Clarendon_75.jpg,Clarendon,75,4,1.825822
yes,Lake_Lark_25.jpg,Lark,25,4,2.102566
yes,Temple_Clarendon_25.jpg,Clarendon,25,3,1.638529
yes,Temple_Juno_75.jpg,Juno,75,3,2.472261
yes,Girl2_Lark_75.jpg,Lark,75,3,1.776122
yes,Girl2_Clarendon_25.jpg,Clarendon,25,3,3.415299
yes,Lake_Lark_75.jpg,Lark,75,4,1.740908
yes,Temple_Lark_50.jpg,Lark,50,3,1.434925
yes,Temple_Juno_0.jpg,Juno,0,2,2.054521
yes,Girl1_Lark_75.jpg,Lark,75,3,2.524153
yes,Temple_Lark_100.jpg,Lark,100,4,1.062672
yes,Girl1_Clarendon_75.jpg,Clarendon,75,4,1.809653
yes,Temple_Juno_50.jpg,Juno,50,2,1.565745
yes,Girl1_Juno_75.jpg,Juno,75,3,1.786218
yes,Temple_Clarendon_50.jpg,Clarendon,50,4,1.207835
yes,Girl2_Juno_0.jpg,Juno,0,1,1.934409
yes,Girl1_Lark_100.jpg,Lark,100,4,2.578103
yes,Lake_Clarendon_75.jpg,Clarendon,75,5,1.243706
yes,Girl2_Juno_25.jpg,Juno,25,3,1.879763
yes,Temple_Lark_25.jpg,Lark,25,2,1.359184
yes,Girl1_Juno_50.jpg,Juno,50,2,3.390654
yes,Lake_Juno_0.jpg,Juno,0,2,4.191594
yes,Lake_Lark_50.jpg,Lark,50,4,1.127926
yes,Girl1_Juno_0.jpg,Juno,0,2,1.190315
yes,Girl2_Lark_100.jpg,Lark,100,4,5.463818
yes,Lake_Clarendon_25.jpg,Clarendon,25,4,4.256617
yes,Temple_Juno_100.jpg,Juno,100,2,1.324571
yes,Girl1_Juno_25.jpg,Juno,25,2,2.262718
yes,Temple_Lark_0.jpg,Lark,0,3,1.642905
yes,Lake_Clarendon_0.jpg,Clarendon,0,3,2.732546
